SMALL_AREA,Cluster
268064005,3
268065011,4
268012004,4
268014005,3
268064003,6
268064001,3
268011004,4
268065005,3
267118019,4
267002030,5
268011010,3
268011007,4
268011008,4
268011003,4
268019004,4
268015001,6
268096004,1
268106009,1
268143012,7
268143025,7
268109012,7
268109017,6
268020009,4
268020008,4
267158004,2
268018016,6
268019005,4
268140015,1
268106001,1
268027001,7
268067006,2
268027002,4
267110014,4
267105008,4
268063001,4
268030026,7
268029005,4
268030027,3
268027010,3
268029006,7
268028007,4
268014004,3
268014010,3
268012007,3
267066013,5
267066012,2
268109005,6
268109004,6
267066003,2
268063003,3
268063002,3
268016005,6
268016002,6
268016010,6
268016015/268016018,1
268015007,6
268015005/268015014,2
268016004,6
267158006,2
268016008/01,6
268016007,6
268016003,6
268106015,1
268139009/268139010,6
268106016,1
268104003,1
268058009,7
268070001,4
268070018,7
268160005,4
267158022,5
267158024,5
267158025,2
268058001,4
268060012,4
268027008,7
267033005,4
267033003,3
267027003,7
267111009,4
267111008,4
268048006,4
268070021,3
268020001,4
268020003,3
268065010,3
268068001,6
268066007,2
268066005,6
267105009,4
268122007,6
268008017/01,5
268071001,5
268119006,6
267111004,4
268160002/02,3
268070002,4
268014009,3
268013004,3
268013001,3
267105006,4
267105007,4
268070005,4
268025002,3
268018002/268018003/268018004/268018009,6
268018010/268018011,6
268018005,3
268016011/268016012/268016013,6
268034002,3
268031007,3
268072015,4
268072003,4
268072006,3
267005004/02,2
268014003,3
268011001,4
268018012/268018015/268018007/268018008/268018013,1
268075008,3
268071003,3
268074010,3
268072013/03,2
268072013/01,2
267110005,4
267111011,4
267105021,5
267110003,4
267110006,4
267110013,4
268073005,3
268073007,4
268119008,6
267095006,4
268125001,4
267130006,4
267130011,4
267130012,4
267004021,4
267004020,4
267095001,4
