Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
Lough Melvin Forest Park,Kinlough TD,Kinlough,Leitrim,581610,855765,84, ,5
Oakfield Lawn,Kinlough TD,Kinlough,Leitrim,581642,855226,20,11, 
Gleann Dara,Skreeny,Manorhamilton,Leitrim,588836,840374,56,7,18
Brendan Keown Development,Church Lane/Main Street,Manorhamilton,Leitrim,588639,839485,15,4,11
David McNulty Development,Sligo Road,Manorhamilton,Leitrim,588435,839554,4, ,4
Tuckmill Park,Drumkeeran Road (R280),Manorhamilton,Leitrim,588732,839058,5,1, 
Gubalaun,R281,Rossinver,Leitrim,592643,848918,18,16,2
Holland Drive,Skreeny,Manorhamilton,Leitrim,588575,840049,10,5, 
Large Mixed Use Development,Behind Main St/ Church Lane,Manorhamilton,Leitrim,588636,839589,20, , 
Old Orchard (Detchced Phase),Bundoran Road(Clooneen TD),Manorhamilton,Leitrim,588196,839693,10,3,3
Glen Eoin,N16 Enniskillen Road,Manorhamilton,Leitrim,589021,839300,8,6, 
Millhill Lawns,N16 Enniskillen Road,Manorhamilton,Leitrim,589178,839274,53, ,46
Gerry O'Hagan Development,N16 Enniskillen Road,Glenfarne,Leitrim,601208,837232,12, , 
Corr A Bhile,R280 Manorhamilton Road,Killargue,Leitrim,586279,831376,17,3, 
The Meadows,R280 Manorhamilton Road,Killargue,Leitrim,586278,831481,9, , 
Windmill Park,R280 Manorhamilton Road,Drumkeeran,Leitrim,590161,824901,14,7,7
Lough Meen,Main Street (Behind),Drumkeeran,Leitrim,590670,824426,9,3,6
Mary Bohan Development,R200 Dowra Rd (LugmeenTD),Drumkeeran,Leitrim,590655,824474,4,2,2
Allenbrook,R208,Drumshanbo,Leitrim,597522,810404,29,12,4
Dolphin-Glen Ltd Development,Derryhallagh TD,Drumshanbo,Leitrim,598023,811322,23,16,1
Radharc an Baile,Dowra Road,Drumshanbo,Leitrim,597337,811518,20,7,6
An Grianan,Cornamuddagh,Drumshanbo,Leitrim,598113,809850,12,2,10
Acres Cove,Carrick Road (Drumhalwy TD),Drumshanbo,Leitrim,596825,810164,50,22,7
Glen Ailinne,Carrick Road (Drumhalwy TD),Drumshanbo,Leitrim,596886,810478,9,7,2
Corryard Wood,Carrick Road (Corryard TD),Drumshanbo,Leitrim,597185,810410,20,13,7
Cnoc An Iuir,Carrick Road (Moneynure TD),Drumshanbo,Leitrim,597106,810770,41,23,2
Carraig Breac,Carrick Road (Moneynure TD),Drumshanbo,Leitrim,597216,810915,71,12,6
Drumshanbo Mart Dev.,Dowra Rd (Carricknabrack TD),Drumshanbo,Leitrim,597441,811176,7,3,4
John McCormack Dev.,R280 (Carricknabrack TD),Drumshanbo,Leitrim,596766,810953,6,4,2
Stonebridge,Drumahaire,Dromahair,Leitrim,580525,831030,89,45,11
Forest Park,Fawn TD,Dromahair,Leitrim,580936,831431,27,19,8
Forest Grove,Drumlease,Dromahair,Leitrim,580961,831246,31,7, 
Salsowart Development,Fawn TD,Dromahair,Leitrim,580983,831562,7, , 
The Acres,Durmahaire,Dromahair,Leitrim,580538,831453,49,36,9
