id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7781066,"Stunning Temple Bar,City Apartment2",12036741,Micheál,,Dublin City,53.34425,-6.26858,Entire home/apt,125,5,388,2020-03-07,6.94,11,73
7781693,Nice Penthouse with a Sea view,16562102,Lucas,,Dublin City,53.31535,-6.20836,Private room,40,1,5,2015-09-28,0.09,1,0
7782606,Double room in Georgian Building,40950201,Nicola,,Dublin City,53.3549,-6.26065,Private room,80,1,0,,,1,0
7787178,Beautiful cosy family home,40621502,Suzanne,,Dublin City,53.38474,-6.22827,Entire home/apt,150,7,0,,,1,0
7794292,Cosy Apartment in the City Centre,33641898,Bella,,Dublin City,53.33717,-6.28039,Entire home/apt,100,3,6,2016-07-10,0.11,1,0
7800156,Spacious 2 bedroom apartment,41056061,Suzie,,Dn Laoghaire-Rathdown,53.22829,-6.12767,Entire home/apt,75,2,2,2018-04-03,0.08,1,0
7804738,Seaview in a shared penthouse,26569355,William,,Dublin City,53.31492,-6.20852,Private room,40,6,4,2015-12-21,0.07,1,0
7806048,The Thomas Street city Apartment B,36321658,Joan,,Dublin City,53.34222,-6.28005,Entire home/apt,130,1,310,2020-03-07,5.58,3,39
7806387,Comfortable Apartements in Dublin 3,40769953,Marie,,Dublin City,53.35605,-6.23368,Private room,50,1,1,2015-09-14,0.02,1,0
7807303,City living in a beautiful Apt C.,36321658,Joan,,Dublin City,53.34204,-6.27999,Entire home/apt,130,1,309,2020-02-27,5.52,3,50
7814088,Top Floor Double Bed in Dublin 4,41137785,"Jack, Mick And Marty",,Dublin City,53.33749,-6.22268,Private room,70,2,124,2020-03-17,2.22,1,103
7819035,Sleeps 6: Best View in Dublin City!,40884266,Eugene,,Dublin City,53.34492,-6.23584,Entire home/apt,350,2,142,2020-01-07,2.56,2,338
7820496,Cozy room near Dublin Center,40766573,Abe & Natália,,Dublin City,53.35939,-6.27342,Private room,60,2,32,2017-08-14,0.65,1,0
7831456,"Artisian cottage in Stonybatter, Dublin 7",15868880,Ash,,Dublin City,53.35401,-6.29319,Entire home/apt,130,2,18,2019-07-07,0.33,1,0
7841127,Cozy room in Rathmines,3129408,Vladimir,,Dublin City,53.31403,-6.26288,Private room,22,1,0,,,1,0
7854688,cozy double bed room,26644845,Sol,,Dublin City,53.30638,-6.27985,Private room,28,1,0,,,1,0
7855080,Splendid City Center Apartment in a quiet area,41028671,Dan,,Dublin City,53.35174,-6.25148,Entire home/apt,150,3,45,2020-03-02,1.30,1,4
7856689,Room in Townhouse near city centre,13176208,Tara,,Dublin City,53.36743,-6.24915,Private room,49,2,119,2020-03-13,2.26,3,0
7856912,"Bright modern apartment, 2 doubles",3207141,Hazel,,Dublin City,53.34794,-6.281,Entire home/apt,150,7,0,,,2,0
7862573,"Unique, artisan city-centre home",1793511,Emily,,Dublin City,53.35045,-6.2874,Entire home/apt,170,3,6,2019-08-21,0.11,2,22
7863252,Single Room. Beside tram bus routes,41442919,Rob,,Dublin City,53.33087,-6.3359,Private room,60,14,1,2019-04-17,0.09,2,0
7877032,Small clean log cabin in the garden,37468113,Caroline,,South Dublin,53.32344,-6.41913,Entire home/apt,60,2,73,2019-09-08,1.35,1,40
7878322,9 Min Dub Airport Ensuite Family Rm,41528096,Caoimhe,,Fingal,53.4537,-6.18883,Private room,65,1,72,2016-10-24,1.29,1,0
7881171,New double room 5min to train-luas,22841699,Damian,,South Dublin,53.28106,-6.44773,Private room,25,1,2,2015-08-25,0.04,1,0
7882182,Family home near Dublin Airport,41550464,Sara,,Fingal,53.52599,-6.16145,Private room,30,1,16,2019-06-16,0.29,2,364
7891946,Studio apartment,13578066,Aleksander,,Dublin City,53.32443,-6.26112,Entire home/apt,65,3,20,2019-11-18,0.36,1,28
7892144,"House+ free parking beside Aviva,CityCentre+3Arena",34186037,John,,Dublin City,53.33964,-6.22574,Entire home/apt,140,1,148,2020-03-05,2.65,2,124
7895839,Modern House Close To City Centre,34186037,John,,Dublin City,53.33807,-6.22596,Private room,80,1,4,2019-09-08,0.07,2,358
7905624,Beautiful home 10 mins from city,12017174,Ronan,,Dublin City,53.32676,-6.25421,Entire home/apt,170,7,0,,,1,0
